,Subj,Narrative,가장 비중이 높은 토픽
113,114,"지금의 나를 있게 하는데 중요하게 영향을 미쳤던 경험 중의 하나는 중고등학교 시절이라고 생각한다. 처음부터 공부를 잘하는 아이는 아니였고, 내가 다른 친구들보다 똑똑하다고 생각하지는 않았다. 하지만 나와 동갑이고, 공부를 나보다 더 잘했던 엄마 친구 딸에게 어느날 질투심을 느끼게 되었다. 나도 그 친구처럼 공부를 잘하고 싶어졌다. 그 이후 내가 할 수 있는 일들을 계획하고 실행에 옮겼다. 집안 형편이 넉넉하지 못했기 때문에 엄마에게 학원에 보내달라고 하지는 않았다. 그저 혼자 문제집을 사서 미리 예습하고, 수업 시간에 선생님 말씀을 열심히 듣고, 숙제와 복습을 하는 식으로 공부방법을 터득하고, 공부하는 습관을 들여갔다. 서서히 성적이 오르기 시작했고, 자신감이 생겼다. 중학교 3학년이 되자, 나는 꽤 공부를 잘 하는 아이가 되어 있었고 더군다나 공부를 잘하면서도 학원에 다니지 않는 독특한 학생으로 인식이 되었다. 학원에 다니지 않는다는 것, 내 힘으로 스스로 혼자 해냈다는 자부심이 내 마음 속에 가득 자리잡았다. 그 이후 우수한 고등학교에 진학하자, 성적을 올리기가 더 힘들어졌다. 1학년 내내 나름의 애를 써서 더 많은 시간을 더 집중해서 더 열심히 공부해도, 생각했던 것만큼 성적이 오르지 않아서 속상한 적이 많았다. 시험성적이 나쁜 것은 아니였지만, 내 기대에 미치지 못했기 때문에 성적표를 받고 혼자 운 적도 있었다. 그럴수록 다음 번엔 꼭 잘해내겠다고 더욱더 집중해서 이를 악물고, 계획을 세우고 꾸준히 공부를 했다. 2학년이 되자 그동안 노력했던 것이 보상받듯 성적이 또 서서히 오르기 시작했다. 그렇게 고등학교 시절을 보내고, 나는 원하던 대학교에 입학했다.   나는 지금도 내 스스로가 남들보다 뛰어난 능력을 가졌다고 생각하지는 않는다. 남들만큼 할 수 있을만큼의 능력과 역량을 가지고 있을 뿐이다. 하지만 학창시절 내가 스스로 목표를 세우고, 이것을 달성하기 위해 계획을 세워서 실행하고, 또 그 목표를 달성했을 때의 희열을 느끼는 이 경험들이 나에게는 가장 큰 자산이 되었다. 그 이후 취직을 하고, 회사에서 일을 하고, 누군가를 만나고 헤어지고, 인생의 중요한 일들을 결정하고 선택하는데 있어서 항상 나는 나를 믿을 수 있었다. 그 믿음은 내가 항상 잘할 것이라는 믿음이 아니다. 설사 실패를 하고, 잘못된 선택을 한다 할지라도, 내가 다시 일어설 수 있고 회복할 수 있고 헤쳐나갈 수 있다는 믿음이다. 그래서 더 나의 선택과 결정에 집중하게 되고, 그 결과도 온전히 나의 책임으로 받아들이는 것이 아주 당연한 것이 되었고. 그것 자체가 나에게는 인생의 가장 큰 행복이다. 무언가를 내가 온전히 선택하고 온전히 결과를 받아들일 수 있는 사람이라는 것이 자랑스럽다,",3.0
114,115,"5년전, 친구들과의 약속된 만남을 하루 앞두고 불참을 이야기하며 그 사유와 함께 채팅방에 적은 후 친구들의 어떠한 답변도 듣기전에 잠수를 탄 적이 있습니다. 불참사유는 남자친구와의 이별, 부모님의 이혼, 직장상사로부터의 괴롭힘... 이 3가지가 너무 힘들게 느껴져서 하혈을 일으키기까지한 때이었습니다. 오랫만에 만나기로한 대학동창들과의 모임이기는 하나, 도저히 웃고떠들 기분도 자신도 없었기에 했던 행동입니다. 평소에 시간약속을 잘 못지켰던 저인지라 더욱더 친구들에게 미안했지만 그래도 친구들보다는 저의 감정이 더 중요했고 더이상 아무하고도 연락하고싶지도 대화하고싶지도 핸드폰을 자꾸 쳐다보고싶지도 않은 생각에 이러한 행동을 일으키곤했습니다. 몇일뒤 핸드폰을 다시 켜보니 친구 세명중에서 두명은 저에게 응원메세지를 남겨주었고 남은한명은 기분이 상했다며 약속당일 나머지 인원끼리 만났을줄알았던 모임을 파토시켜버린상황이었습니다. 간신히 마음을 추스려 핸드폰을 보았을때는 이해심이 많은 두명의 친구로부터 저에대한 크나큰 걱정으로 응원을 해주어서 기분이 풀리려던중, 그 한친구때문에 또다시 크나큰 스트레스를 받아야했습니다. 남자친구와의 이별, 부모님의 이혼, 직장상사로의 괴롭힘으로 퇴사준비까지하던중이었는데 그 화가나있는 친구와 말다툼을하다가 결국 절교까지 하게되었습니다. 말다툼의 내용은 이러합니다. 모임에 나오지 못해 미안하다는 말을 채팅방으로 적고 잠적해버리면 다냐는 주장과, 저의 주장은 채팅방에 미안하다고 적은건 사과가 아니냐 인생일대에서 가장 힘든순간인데 그것도 이해못해주냐는 것 이었습니다. 그 두명의 친구는 감성적인 친구라면 이 한친구는 평소에도 논리적인 친구였습니다. 그래서 다소 철이 없던 저와 평소에도 잘 안맞았는데 이번일로 절교까지 하게된것입니다.  *질문에 대한 답 이 일은 앞써 말씀드린대로 때는 5년전, 혼자 집에서 겪은일이고,  친구와 관련이 있었으며, 친구 성향에 맞게 대처하는 자세가 필요했음을 느꼈고, 대인관계를 잘 유지하는것에 대해서 깨달은점이 많았기에 중요하다고 생각하게되었고, 이 경험은 제가 크게 잘못하지 않은일이고 충분히 친구가 이해해줄수도있는일이지 않았나 생각들지만 그래도 친구마다 성향이 있기에 맞추어주자라는 생각을 최종적으로 한걸보면 그래도 나는 결코 이기적이지는 않은사람이구나 싶습니다. ",3.0
115,116,몇해전에 뇌졸중으로 쓰러지게 되면서 성격이 많이 변화된거같다. 주위 사람들에 대한 고마움이나 내 자신의 삶에 대한 고마움을 크게 느끼게 되었고 다시 태어난 기분이였다. 아무래도 더 주위사람들을 챙기게 되고 사소한것에 대한 행복을 느낄 줄 알게 되었고 그만큼 더 가족들과 시간을 보내는 것에 감사하게 되고 작은것에도 감사할 줄 알게 되었다. 그러면서 성격도 더 온화해진 거 같고 스트레스를 많이 받으려 하지 않게 되었다. 무엇이 인생에 있어서 정말 중요한 것인지에 대해서도 분명하게 생각하게 되었고 물질적인것도 물론 중요하겠지만 인간관계의 중요성이나 주위사람들을 돕는것에 대해서도 다시 한번 더 생각하게 되었고 많은 의미를 두려고 하게 되었다.  전에는 더 살갑지 못하였으나 더 유쾌한 사람이 되어 노력하게 되었고 매순간순간을 즐기고 행복하게 살려고 노력하게 되었다. 그러다보니 주위에 사람들도 덩달아 즐겁게 되었고 항상 행복하려 노력하게 되었다.  전보다 가족들이나 주위사람들에게 더 고마운 표현이나 사소한 표현들도 잘 하게 된거같다.,0.0
116,117,"내가 현재 자신의 모습에 이르게 된 결정적인 경험은 성장할 때의 환경, 습관, 신념 때문인 것 같다.  첫째, 나는 초등학교 저학년 때까지 시골에서 자라고 학교는 도시로 다녔는데, 방과 후나 주말 및 방학이면 '자연'이 나의 놀이터이고 학교였다. 모든 것이 장난감이었고 예술작품이었으며 경이로움이었다. 동네 또래들과 함께 규칙을 정하고 각자의 역할이 있었으며 이 전봇대에서 저 전봇대까지 우리 영토를 지키기 위해 전략을 짜기도 했다. 또한, 다양한 동식물을 관찰하고 시도하고 실험하고 이야기를 만들고 두려움과 놀라움에 밤잠을 못 자기도 하며 정말 그러한가 의심하고 증명하기 위해 책을 읽고 정보를 찾는 계기가 되었다. 지금도 나무나 꽃에 관심이 많고 짧게 산책을 하거나 운전을 할 때에도 자연의 아름다움을 느끼며 감사하고 잠깐 멈춰서 감상하는 것으로 여유를 느끼곤 한다. 둘째, 초등학교 고학년 때부터 '독서'하는 습관이 생겼는데 왠지 고상해보이는 것이 좋았고 혼자 있어도 외롭지 않고 뭔가 중요한 일을 한다는 생각이 들었기 때문이다. 중학생 때는 바로 옆에 학생문화회관이 있어 학원 가기 전까지 두꺼운 책들을 읽으며 시간을 때우거나 성취감을 느꼈던 것 같다. 고등학생 때는 일탈처럼 공부 외에 독서평설 잡지를 읽는 것이 너무나 즐거웠고 대학이나 사회에 나와서 중요한 시험을 앞두고도 평소 엄청 열심히 공부하고 일요일이나 하루 날을 잡아 종일 읽고 싶은 책을 쌓아놓고 읽는 것이 나만의 스트레스 해소 방법이었다. 다양한 인물들의 삶에 공감하며 지금 나의 삶은 불만족스럽고 완전하지 않을지라도 언젠가는 극복하고 더나은 내가 되고 싶은 모습의 인물이 되리라는 희망을 갖게 되었다. 셋째, '교회'를 다니며 눈에 보이지 않는 것 그리고 삶의 목적에 대해 깊이 생각하게 되었다. 때로는 이해할 수 없고 억울한 일이 있을 때일지라도 보다 긴 시각에서 보면 전화위복이 되는 경험이 있었고 이런 아픔과 고통을 받아들이는 자세가 보다 중요하다는 것을 배우게 되었다. 미워하던 사람(아빠)을 24년만에 용서하고 내가 먼저 사랑하기로 다짐하게 된 것도, 지식이나 실력은 누구보다 많다고 자타가 공인하는데 자꾸 떨어지는 국가 시험 앞에서 공부의 즐거움을 발견하고 사명감을 보다 불태우게 된 것도, 두 달 넘게 연애 해본 적이 없는 내가 정말 사랑하는 사람을 만나서 누구보다 예쁜 사랑하며 알콩달콩 잘 살고 있는 것도 신앙이 깊어지며 생긴 변화인 것 같다. 신앙은 나를 보다 너그럽게 긍정적이게 사랑스러운 사람으로 만들어주었다.",3.0
117,118,"10여년 전 첫 아이가 백일쯤 되었을 때의 일이다. 하루는 집에서 잠을 자고 있는데 아침에 아이가 울어서 일어났다. 그런데 평소와 다르게 정신은 깨었는데 몸이 움직여지지가 않았으며 말 또한 나오지가 않았다. 그러나 한참을 노력하여 작은 소리로 불렀는지 손가락을 움직여서 표현을 하였는지 기억나지 않지만 아무튼 옆에서 자고 있는 남편을 깨우게 되었다. (아이의 울음소리에 잠을 깼을 수도 있을 것 같다.)  남편은 곧바로 나의 상태를 알아차리고는 어떻게 하냐고 하더니 본인은 오늘 회사에 중요한 일이 있어서 나가봐야 한다고 하였다. 그러면서 근처에 사시는 나의 고모에게 연락을 하여 좀 와달라고 전화를 하고서는 아이 기저귀만을 갈아주고 출근을 해 버렸다.  남편이 출근을 하고 난 뒤 한참을 움직여보려 노력을 하였으나 몸은 움직여지지 않았다. 아이는 처음에는 조금 노는 듯 싶더니 이내 배가 고픈지 울기 시작하였고, 시간이 어느 정도 지나고 난 뒤에 나는 간신히 눈을 뜰 수 있을 정도가 되었다.  곧이어 고모가 오시고 아이를 돌보아주셨고 한참이 지나서야 나는 움직일 수 있게 되었다.  하염없이 눈물이 나오고 남편을 평생 용서하지 못할 것이라는 생각과 그 사람에게서 나의 존재에 대해 생각하게 되었다. 그러면서 남편을 내가 아닌 타인으로 생각하게 된 것 같다.  그 이후에도 아이를 키우며 몇 번의 다툼이 있기는 하였지만 그 전까지와는 달랐다. 남편에 대한 기대감이 낮아지고 우리 부모님처럼 피를 나누지 않는 이상 본인 보다 소중한 사람은 이 세상에 없다는 것을 깨닫게 되었다. 전까지는 정에 많이 의지하고 정이 많던 나였으나 이 일을 계기로 모든 사람을 대할 때에는 언제나 한 발자국 물러설 수 있게 되었다.",0.0
118,119,직장에서 제가하는 일은 사람들을 관리하며 운영하는 일 입니다.  회사 직원들이 웃으면서 일할 수 있도록 만들어 주되 거기에 맞는 책임감을 가지도록 지도하고 있습니다.  예전에는 눈치를 보며 일을 하였기에 이제는 같은곳을 바라보며 함께 커 나갈 수 있는 화사 앞으로 가족같은 회사를 만들고 싶은 생각입니다.   그러기에 사원들과 소통이 중요 하다고 생각이 들어 얘기를 많이 들어주는편 입니다.  또한 동호회 활동을 통해 같이 웃고 함께 즐길 수 있는 사원들이야 창조적인 아이디어를 만들 수 있다는 생각을 가지고 있습니다. 앞으로도 긍정의 시너지가 계속해서 나왔으면 합니다. 그래서 1호점 2호점 이렇게 파생되었으면 합니다. 그러기에 그러한 것들이 나의 일이 라고 생각이 들며 일에 보람을 가지고 재미있게 일하고 있는 중 입니다.  나로 인해 여러 사람들이 행복하다면 힘 들어도 그 일을 함께 해쳐나가자고 말하고 있습니다. 다행이 사원들이 잘 따라오고 있으며 함께 하고 있어서 저 역시 힘이 생깁니다.,0.0
119,120,지금도 성공하는 삶이란 부유한 삶이란 어떤 것인지에 대하여 끊임없이 생각하고 있지만 기존 경험이라는 것이 현재 삶에 영향을 미치는 것은 분명한 것 같다. 직장생활 5년차이지만 첫 직장에서 받은 부조리함 무의미 부질없음에 대한 영향이 지금까지도 나를 삼켰다는 생각이 든다. 그때는 원하는 금융분야를 가기 위해 열심히 공부했고 노력했고 완전히 그 분야는 아니었지만 비슷한 분야에서 전공을 살려 일을하게 되었을 때 처음에는 기쁘고 좋았다. 하지만 직장상사의 괴롭힘 ( 나중에 알고보니 심술이었다고 한다. 밑의 사람이 들어오면 자기 자리가 흔들릴 것이라는 것에 대한 불안감 이라고 했으나 그건 자기가 그 자리에서 노력하지 않아서 오는 나약함이라고 생각이 들었다)의해서 모든 일이 부질 없음을 느끼게 되었고 승진또한 별 의미 없다는 경험을 하게 되었다. 또 하나는 그 시기에 누군가의 죽음. 그게 내 삶을 다 바꿔 놓은 듯 싶다. 나에게 소중한 사람이었기에 내 삶이 통째로 흔들렸고 지금도 흔들리고 있다. 누구보다도 승진과 부를 원하고 그걸 위해서 많이 노력했던 모든 것들의 의미없어진 상태. 느낌. 간신히 그 아픔에서 나왔지만 그래도 공허한 삶의 느낌이란 생각보다 힘든 일인 듯 싶다.  친구들도 곁에 있어주고 가족들도 있어주지만 왜이리 다 부질없어 보이는지..  퇴사 후 몇개월을 쉬었고 그 기간동안 건강하다고 생각했던 정신이 아픈 듯해서 사람들이라도 만나자는 생각에 다시 취업을 했으나.. 예전처럼 승진과 연봉 욕심보다는 내 자신을 찾는게 우선이었던 것 같다.  아마 어렸을 때 부터 생각해왔던 모든 것들이 다 변한 느낌. 긍정적으로 변한 것이 아닌 송두리쨰 흔들린 느낌.  그나마 나를 그 기간 치유해준건 강아지이다. 키우기 전엔 잘 몰랐었던 소중함을 이제는 내 모든 애정을 주는 느낌. 퇴근하고 집에 가면 그 아이 보고 모든 것이 치유되고 있다. 이렇게라도 해야 내 숨통이 트이는 느낌이다.  그래도 나름 행복하고 부족하지 않은 삶을 산다고 생각하지만 문득 보고싶은건 어쩔수없다. 치열했던 삶은 죽음 앞에서는 다 부질 없는 짓인 것 같다.,1.0
120,121,"현재 회사 내 팀의 상황이 좋지 않습니다. 어쩌면 이것은 1년이 넘는 동안 쌓여온 많은 문제들이 복합적인 연쇄 작용을 일으켜 만들어낸 결과라고도 볼 수 있습니다. 이 문제에는 많은 사람들이 얽혀있습니다. 가깝게는 사람을 믿지 못하여 협업을 이끌어내지 못하는 디렉터와 디렉터로부터 신뢰를 얻지 못한 팀원들 사이의 문제가 있고, 멀게는 일련의 사건들로 인해 복잡한 권력 싸움을 펼치고 있는 회사의 정치 구조와 매출과 이익에 의해 하루하루 변화를 겪는 회사의 경영 방침 등의 문제가 있습니다.  여기서 모든 걸 서술하긴 어렵습니다만, 지금껏 거의 2년마다 회사를 옮겨 온 제 입장에서 이번의 경험은 무척이나 새로웠으며, 한 편으로는 특이한 경험이었습니다. 지금까지 제가 겪어 온 회사의 문제는 대체로 개인이나 매우 적은 규모의 소수 집단에 의한 영향이 컸다고 생각합니다. 그래서 한 편으로는 그 해결책이 꽤 단순해보이기도 했습니다. 그러나 이렇게 집단과 구성으로 부터 비롯된 문제는 그 해결 과정이 매우 어렵다는 생각이 듭니다.  한 편으론 해결 과정이 복잡하고 어렵기 때문에, 이 문제로 부터 제가 취해야 할 행동은 되려 명확하다고 생각합니다. 결국은 여기서 제가 할 수 있는 일, 문제를 해결하기 위해 제가 취할 수 있는 행동은 거의 없고, 있다 한들 효과적이지 않을 것입니다. 그래서 되려 마음 편히 다음을 생각하게 됩니다. 여기서 내가 불만만 늘여놓으며 시스템 속에 안착할 것인지, 이번의 경험을 참고하여 새로운 기회를 얻기 위해 노력할 것인지. 저는 이미 마음먹었습니다. 넋두리만 늘여놓으며 투덜대고 있지만 않으려고 합니다. 이번의 어려움을 바탕으로 다시 한 번 나아가기로 했습니다. 그리고 큰 관점에서는, 이 회사와 같은 시스템이 업계나 우리 사회에 만연하지 않도록, 다른 방식으로도 충분히 좋은 결과물이 나올 수 있고 그 과정을 겪는동안 과업에 참여한 모두가 온전히 즐길 수 있음을 보여주고 싶습니다.  저는 재밌는 물건을 만들어 사람들에게 즐거움을 선사해야할 사람이며, 이를 위해 끊임없이 고민하고 부딪혀야 합니다. 회사에 대한 불평은 재미를 추구하는데 별로 도움이 될 것 같지 않습니다. 그리고 부는 이런 제 결정과 노력에 따른 부산물이 되어야 한다고 생각합니다. 제가 재밌게 만드는데 일조한 만큼 벌고 싶지 그 이상의 과도한 것을 바란다면 결국 제 삶을 더욱 피폐해질 것이라고 생각합니다.",1.0
121,122,"에티오피아에서 2년동안 봉사활동을 마치고 한국으로 돌아가는 길, 어느 경로로 귀국을 할까 생각을하다 서른살이 된 당시를 기념하고 싶다는 생각을 했다. 평소 등산을 즐겨하진 않았지만 먼가 의미있는 이벤트를 찾아 탄자니아로 향했다. 킬리만자로 정상등반. 서른이 된 나를 위한, 내가 성장할 만한 도전으로 썩 괜찮은 선택이었다. 대학을 졸업한 후 설계사무소에서 일하면서 몸도 마음도 많이 지친상태였고 내가 과연 정상을 등반할 수 있을까하는 의구심도 들었지만 꼭 해내고 싶었고 왠지 자신도 있었다. 해발 3000미터에서 시작한 첫날은 수월했다. 에티오피아의 도시들이 대부분 해발 2000미터 이상에 위치해서 그런지 그곳에서 2년을 생활했던 나는 킬리만자로의 고도에 이미 어느정도 익숙해져 있었다. 하지만 5895미터 정상으로 향하는 마지막 날은 한발 한발 내딛기 힘들 정도로 숨이 가빠왔다. 길먼스 포인트를 지날 때에는 정말 너무 힘들어서 포기해버리고 싶다는 생각이 굴뚝같았지만 계속 걸었다. 어제 밤 11시부터 시작한 등반은 벌써 7시간이나 지속되고 있었고 정상이 어디인지 어둠속에서 전혀 가늠할 수가 없었다. 그 때 저쪽 산 너머에서 아침을 여는 태양이 떠오르고 있어고 희미하게 정상이 점차 가까워 오는 것을 확인할 수 있었다. 그리고 곧 나는 마침내 정상을 밟을 수 있었다. 그 때 눈덮힌 산 봉오리 사이를 떠오르는 태양을 보면서 다짐했었다. 앞으로 어떠한 힘들일이 있더라도 지금 이 순간, 이 희열을 생각하면서 잘 버티겠다고 말이다. 그때 그날의 경험이 오늘의 나를 건강하고 당당하게 서있게 하는 갑진 경험이다.   ",4.0
122,123,"  예전에 50대를 잘 넘기면 그 이후는 별 어려움없이 건강하게 남은 인생을 잘 살 거란 이야기를 누군가에게서 들은 적이 있다. 딱 절반을 살았으니 50대에 많은 건강의 이상이 온다는 얘기로 들렸다. 그래서 50초반을 지나서 건강검진을 2년마다 꾸준히 했다. 그런데 갑자기  2년 전부터 살이 서서히 빠지기 시작하면서 입이 예전에 비해서 많이 마르고 화장실을 자주 가도 쾌변이 아니고 잔변감이 많았다. 그런와중에 느낌이 좀 좋지않아 대장내시경을 했는데 직장암이라는 선고받게 되었다.  전혀 가족력이 없는데다 건강하고 잔병도 없어서 처음에 암이란 말을 들었을 땐 정말 믿어지지가 않았다. 그러나 일련의 과정을 생각해보니 치질이 있었고, 심하진않지만 변비도 있어서 그 원인을 알 것 같았다. 두 번의 수술을 하고 6번의 항암과 방사선을 치료하면서 지금은 다행이 건강을 되찾았다. 꾸준히 운동하면서 식이 조절하니 결과가 좋아졌다.   전화위복으로 지금은 인생을 다시 돌아볼수 있게 되었고 건강을 더 많이 생각하며 예전에는 운동도 하기 싫어하는 것을 지금은 일상이 되었고 먹는 음식에도 훨씬 더 건강하게 먹게 되었다. 가족간의 관심도 많아지고 더 화목하게 변해서 고난이 늘 나쁜것은 아니라는 생각을 하게 된다. ",2.0
123,124," 현재 저는 교직에서 아이들을 가르치는 일을 하고 있습니다. 제가 이 자리에 있을 수 있도록 한 결정을 하게 된 계기를 생각해보면 학창시절의 경험이 큰 영향을 미쳤다고 할 수 있습니다.  고등학교 시절 대부분의 학생이 그러하듯이 저를 비롯한 대부분의 학생들이 열심히 공부를 했습니다. 그런데 열심히 공부를 하는 와중에도 나와 내 주변의 친구들은 왜 이렇게 열심히 공부를 해야 하는지, 무엇을 위해 이렇게 해야 하는지 모른 채 그저 맹목적으로 공부를 했습니다. 학교에서 그 어떤 누구도 학생들에게 꿈이나 미래에 대해 이야기를 들어주거나 이야기를 해주는 분은 찾을 수 없었습니다. 그저 미래에 번듯한 직업을 가지기 위하여, 앞날을 위하여 지금 현재 공부를 한다는 것 외에 추상적인 답만이 맴돌았습니다.  그렇게 생활하면서 진정 내가 원하는 것이 무엇일까, 또 어떻게 그러한 것을 찾을 수 있을까에 대한 의문이 생기기 시작하였습니다. 그리고 학교는 학생들에게 열심히 공부를 하라고는 하지만, 인생에 대해서는 왜 이야기를 하지 않는 것일까에 대한 생각도 들었습니다.  그리하여 저는 학생들이 자신의 미래와 꿈에 대해 진지하게 생각하고 고민하여서 다른 사람이 그들에게 기대하는 모습이 아닌 학생들 자신이 스스로 고민하고 생각하여 진정으로 원하는 자신의 모습을 찾아가기를 바랬습니다. 그래서 제가 선생님이 되어서 아이들이 진정으로 원하는 일을, 미래를 스스로 그려나갈 수 있도록 도움을 주고 싶다는 마음이 이 자리까지 오는 데에 커다란 밑거름이 되었습니다.  현재 교직생활을 하면서는 사회적 구조와 교육 환경적 요소에 많은 관심을 기울이고 있습니다. 학생들이 자신의 미래를 스스로 설계하고 맹목적이고 추상적인 공부를 하기보다 실제적이고 실질적으로 자신들이 필요한 것을 찾아 배우고 습득할 수 있기를 바람과 동시에 학생들이 그렇게 하기 위해서는 사회 구조적 환경과 교육 환경적 요소에 대한 변화와 개혁이 있어야 한다고 생각하기에 학생들이 마음 놓고 자신들의 꿈과 미래를 설계할 수 있도록 하기 위하여 사회 구조를 변화시키는 활동과 학생들에게 보다 실질적인 도움이 되는 교육이 이루어질 수 있도록 하기 위한 교육정책에 대한 관심을 많이 가지고 있으며 그러한 정책이 이루어질 수 있도록 저 또한 학습도 하며 활동하고 있습니다.",3.0
124,125,"어렸을 때부터 외부에 집안일이 알려지는 걸 부모님이 꺼려하셨고, 개인적인 일이 밖으로 노출되지 않도록 주의하거나 거짓말을 했었다. 그런 경험이 지속되다 보니 말하는 것이 조심스러워 졌고, 어떤 얘기를 꺼내기 전에 해야할 말인지 아닌지에 대해 많은 고심을 하며 얘기했던 것 같다. 그래서 지금은 나에 대한 얘기는 거의 하지 않고, 다른 사람의 얘기를 주로 들어주거나 내 얘기를 하더라도 일반적인 얘기, 업무적인 얘기를 많이 하는 것 같다. 대학교때까지는 그렇게 하는 것이 맞는 것이고 그래야만 된다고 생각해서 따랐지만 언제나 마음은 불편했고, 나는 왜 솔직하게 얘기하면 안되는지에 대해 슬슬 의문을 가지기 시작했다. 어떤 사람들은 나보다 더 안좋은 상황, 환경을 가지고 있어도 거리낌 없이 이야기 하는 모습을 보면서 저런거에 비하면 난 아무것도 아닌데, 사실상 내가 가지고 있는 히스토리는 별거 아니고 누가 크게 신경쓰지도 않을텐데, 신경쓰더라도 나는 괜찮고 당당하고 떳떳하고 죄지은거 아닌데~라는 생각을 많이 하게 되었고, 어렸을때 말하지 못한 것들에 대해서 이야기 하기 시작했다. 물론 내 주변환경적인 부분에 대한 일부지만 자연스레 이야기할 수 있는 내가 좋았고, 거짓말을 하거나 숨기지 않을 수 있어 편했다. 편하니까 말도 더 잘 나왔던 거 같고, 조금이나마 나의 감정이나 느낌, 생각에 대해서도 이야기 하기도 하였다. 지금 돌이켜보면 원래 거짓말을 잘 못하고 진실된 편이라 그 이전의 삶은 만족스러웠지만 불편한 삶이었던거 같다. 그렇다고 엄청 개방적이고 모든 걸 솔직하게 털어놓는 건 아니지만 이전과 비교했을 때 나는 많이 개방적으로 바꼈다고 생각한다. 나만 생각했을 땐 더 많이 개방하고 더 솔직하게 이야기 할 수 있지만, 나는 나 혼자만 살아가는게 아니고 내 옆의 가족과 친구들이 연관되어 살아간다고 생각하기 때문에, 나는 나에 대해 이야기 한다고 하지만 그것은 결국 나의 가족과 친구들 등 내가 아는, 나와 관련된 사람들에 대해 이야기하는 것과 마찬가지라고 생각한다. 그렇기에 나는 더더욱 공식적인, 업무적인 대화를 빼고 개인적인, 사적인 대화가 조심스러운 것 같다. 왜냐하면 나는 괜찮지만 나와 관련된 사람들이 그 대화의 내용에 동의하지 않을 수 있기 때문이다. 나는 다른사람들에 대해 관심없고 나 자신에 대해서 많이 집중하고 눈치보지 않고 자유롭게 행동한다고 생각했지만, 이런면에서(다른사람의 동의없이 이야기 하는 것) 나는 꽤 다른 사람을 신경쓰면 살았던 것 같다. 이전에는 전혀 느끼지 못했고, 최근에 들어서야 나의 관계와 사고에 대한 패턴을 돌이켜보면서 생각하게 되었다. 최근 이유없이 쓰러지는 일이 몇 번 있었다. 검사결과는 이상없다고 나오면서 병원에서나 주변에서는 스트레스가 원인이니 많이 쉬라고 하였다. 나는 내가 스트레스를 받지 않고 있다고 생각했다. 그리고 스트레스를 받지 않기 위해 많이 노력하고 있고 긍정적으로 생각하며 살아가고 있다고 생각했다. 하지만 그 사건을 계기로 내가 나에 대해서 얼마나 무지하고 잘못생각하고 있고 관심없이 살았는지 새삼 깨닫게 되었으며, 그래서 알 수 없는 많은 감정을 느끼고 있다. 요즘 나는 감정정리하는 시기를 보내고 있으며, 조금씩 나에 대해서 정리하는 시간을 보내고 있다고 생각한다.  ",0.0
125,126,"대학교 졸업 후에 벤처기업에 취업을 하게 되었습니다.  회사가 힘들어졌지만, 모시던 회사 오너분을 믿고 따랐습니다.  하지만 그 분께 투자했던 자금을 사기를 당하며,  금전적, 심리적으로 피해를 입었습니다.  정말 믿었던 분이었거든요.  그러면서 직장을 잃었구요.  그 뒤에 울산에 중견기업에 취업을 하게 되었습니다.  울산에 있는 대기업에 견주어봐도 전혀 손색이 없는 비전이 있는 기업이었습니다.  하지만 몇 년 후에 회사는 부도가 났고,  가지고 있던 주식들도 종이조각이 되었습니다.  그러면서 또 한번에 제 직장을 잃었지요.  그리고 그 때 만났던 여자친구가 있었습니다.  굉장히 악녀였습니다.  저희 부모님을 쌍욕을 붙여가며 욕하고, 금전적으로 명품백, 선물을 강요하며.  주위 사람들과 인연을 끊게 만드는.  그렇게 몇년을 지내오며 항상 사랑으로 감싸주며, 화 한번 내본적 없었습니다.  제 주위에 모든 사람들이 헤어지라고 권하던 그런 여자친구였었습니다.  이 위에서 말씀드린 경험, 저는 실패를 겪었습니다.  금전적으로, 제 현실과 미래에 대해 그리고 내가 믿는 사람에 대해서...  젊은 날에 겪었던 이런 실패들은 저를 더욱 강하게 만들더군요.  그러면서도 집안에 큰일이 발생했을 때 식구들이 속히 말하는 멘탈이 무너지는걸 봤지만,  저는 그렇지 않더라구요.  오히려 이성적으로 판단하고 마음에 여유가 생겼습니다.  사람을 보는 안목 또한 넓어졌구요.  미래에 큰 시련이 와도 어떻게든 이겨낼 수 있는 강인함을 얻었습니다.  그래서 미래에 대한 큰 걱정이 없습니다.  주변분들께서는 제 인생이 지금까지 너무 힘들었다고 얘기합니다.  하지만 저는 이런 경험이 정말 아깝지 않습니다.  이만큼 저를 강하게 만들어주었으니까요.  그래서 지금 행복할 수 있습니다.  너무나 사랑스러운 와이프를 선택할 수 있는,  그리고 미래에 혹시나 다가올 실패에 대해 조심할 수 있는 안목을 가졌습니다.  너무 행복하고, 내 옆에 있는 배우자가 있기에 뭐든 극복할 수 있습니다.",0.0
